"time_s","down_neg","down_neu","up_neg","up_neu"
3.9,1.00675951865046,1.0030524787421,1.01207386848826,1.01455557866621
4,1.0066462482301,1.00284623032973,1.01206151675415,1.01443148664854
4.1,1.0065396485134,1.00267258145632,1.01204979954238,1.01430214911186
4.2,1.00644962510879,1.00253474913664,1.01205102595632,1.01417470718719
4.3,1.00638374415752,1.0024331817752,1.01207643226381,1.01405389818653
4.4,1.00634726668194,1.00236478431047,1.01213471143878,1.0139414238422
4.5,1.00634368280072,1.00232276468626,1.01222879388915,1.01383621637622
4.6,1.00637314228772,1.00229717625501,1.012356291218,1.01373359909003
4.7,1.00643280507637,1.0022751874329,1.0125086260885,1.01362680914428
4.8,1.00651579167072,1.00224331343885,1.01267250826188,1.01350600076045
4.9,1.00661171880351,1.00218868804081,1.01283262145648,1.01336045222523
5,1.00670844674388,1.00210196951371,1.01297299690761,1.01318059360606
5.1,1.0067934535836,1.00197767788458,1.01307963452557,1.01295958645426
5.2,1.00685575792339,1.00181612359164,1.01314191281985,1.01269487209145
5.3,1.00688660966051,1.0016208545519,1.01315195468539,1.01238862365352
5.4,1.00687994012002,1.0013984074799,1.01310590367886,1.01204716475797
5.5,1.00683062687971,1.00115616401991,1.01300204767461,1.01167832965453
5.6,1.006734290589,1.00090031617652,1.01284126255541,1.01129089357406
5.7,1.00658704469833,1.00063562857654,1.01262688020959,1.01089270625997
5.8,1.00638634904048,1.00036615668367,1.01236442058449,1.01049002666948
5.9,1.00613271586767,1.00009481344202,1.01206191057966,1.01008731426344
6,1.00583234591236,0.999824678135317,1.01172921460248,1.00968858713905
6.1,1.00549701093126,0.999559017688337,1.01137706636393,1.00929635562346
