"Subject","event_no","instruction","valence","SCR_mean_instruction","SCR_mean_stimulus","log_SCR_mean_instruction","log_SCR_mean_stimulus"
49,7,"Upregulate","Negative",0.994153966043735,0.987324441995151,-0.0058631889043869,-0.0127565782697179
49,8,"Downregulate","Neutral",0.999510524821163,1.00762496102449,-0.000489595010917403,0.00759603794105175
49,8,"Downregulate","Negative",0.998027698008345,0.995282804317335,-0.00197424954041933,-0.00472835676338576
49,8,"Upregulate","Neutral",0.997577037456043,0.994234480781656,-0.00242590266786831,-0.00578220398607956
49,8,"Upregulate","Negative",1.01435929040625,1.02504195313797,0.0142571721982199,0.0247335416434664
49,9,"Downregulate","Neutral",0.990769327407541,0.984030566065687,-0.00927353924666702,-0.0160983193374461
49,9,"Downregulate","Negative",0.997074838797968,0.993219298003734,-0.00292944784752112,-0.00680379540827982
49,9,"Upregulate","Neutral",1.01891463472157,1.0667769333475,0.0187379771509822,0.0646418908080238
49,9,"Upregulate","Negative",1.00203381859812,0.998156479750689,0.0020317531890448,-0.00184522162409973
49,10,"Downregulate","Neutral",0.999704949096228,1.00033570848096,-0.000295094439854157,0.000335652143476296
49,10,"Downregulate","Negative",0.9990550064777,0.999370895057862,-0.000945440310175356,-0.000629302911685405
49,10,"Upregulate","Neutral",0.998625272770498,0.996512386376529,-0.00137567303389423,-0.0034937095254248
49,10,"Upregulate","Negative",0.999735627433162,0.999337287751164,-0.000264407519425055,-0.000662931939664905
49,11,"Downregulate","Neutral",1.00716555937495,1.00900001801721,0.00714000873816749,0.00895975922797308
49,11,"Downregulate","Negative",0.9995216523907,0.998660170969801,-0.000478462054014899,-0.00134072740364798
49,11,"Upregulate","Neutral",1.02903939331236,1.06077207137831,0.0286257392215225,0.0589970122166636
49,11,"Upregulate","Negative",0.994853406355713,0.988713541630924,-0.00515988297348407,-0.0113506337725981
49,12,"Downregulate","Neutral",1.0035337954827,1.06258854307047,0.00352756629823855,0.0607079529988515
49,12,"Downregulate","Negative",0.997031472885848,0.992903565271878,-0.00297294192993035,-0.00712173418271615
49,12,"Upregulate","Neutral",0.997332430604713,1.00748694228021,-0.00267113369862186,0.00745905423879061
49,12,"Upregulate","Negative",1.03821141163304,1.09464009726351,0.0374994360988373,0.0904256309437522
49,13,"Downregulate","Neutral",1.00122429866576,1.01612253689075,0.00122354982328832,0.0159939490597682
49,13,"Downregulate","Negative",0.998328014804415,1.00012533498161,-0.00167338452281969,0.000125327127837357
49,13,"Upregulate","Neutral",0.992963749278236,0.984538656854101,-0.00706112186895748,-0.0155821162049571
49,13,"Upregulate","Negative",0.994247484858468,0.992850749742349,-0.00576912458477038,-0.0071749286077695
49,14,"Downregulate","Neutral",1.00050932618933,1.00102361334803,0.000509196526769008,0.00102308981312276
49,14,"Downregulate","Negative",0.996526822096698,0.992034188519499,-0.00347922338776383,-0.00799770805777662
49,14,"Upregulate","Neutral",0.997497621779794,0.988561351434515,-0.0025055144016185,-0.0115045731132972
49,14,"Upregulate","Negative",0.99738567820326,0.997702120741857,-0.0026177451036878,-0.00230052343412695
49,15,"Downregulate","Neutral",0.996751098390346,0.993108524004819,-0.00325419074952514,-0.00691533188056001
49,15,"Downregulate","Negative",0.997817902589021,1.03865784538422,-0.00218448165460057,0.0379293464136518
49,15,"Upregulate","Neutral",0.99795550274302,0.995421284656488,-0.00204659009451669,-0.00458922976792394
49,15,"Upregulate","Negative",0.999191043667089,0.998475658353739,-0.000809283714655658,-0.00152550463700236
49,16,"Downregulate","Neutral",1.00155457057811,0.995576198328177,0.00155336348411426,-0.00443361563648933
49,16,"Downregulate","Negative",1.00026189861014,1.00432523485823,0.000261864320690363,0.00431590791441769
49,16,"Upregulate","Neutral",1.00080598359269,1.00144148986271,0.000805658962334402,0.00144045191353714
49,16,"Upregulate","Negative",1.0390970679615,1.03506770584646,0.0383521321628282,0.0344668408545565
50,1,"Downregulate","Neutral",0.995526763964042,1.0028564037338,-0.00448327089297981,0.00285233196456129
50,1,"Downregulate","Negative",1.00696399244761,1.05560435665585,0.00693985584548992,0.054113452822912
50,1,"Upregulate","Neutral",1.00441104680791,1.02148772676168,0.00440134665569986,0.021260120285773
50,1,"Upregulate","Negative",0.996733105476121,1.01137248164784,-0.00327224247443052,0.0113083011146763
50,2,"Downregulate","Neutral",0.994689509345521,1.05081152274804,-0.00532464143058417,0.0495627444600618
50,2,"Downregulate","Negative",1.00018279169144,0.99877451329045,0.000182774987076215,-0.0012262382324384
50,2,"Upregulate","Neutral",1.00925905039574,1.01677343769826,0.00921644815756146,0.0166343171237346
50,2,"Upregulate","Negative",0.982785513239013,0.967870650012242,-0.0173643787377963,-0.0326568266547232
