"time_s","down_neg","down_neu","up_neg","up_neu","down_neg_rel","down_neu_rel","up_neg_rel","up_neu_rel"
1.9,0.989975088441035,0.988758877463896,0.991078638051086,0.988954292736475,-1.19665831887155,-1.30518236804529,-1.05319240829301,-1.14100160244711
2,0.985572858555944,0.986804551450081,0.992970497372083,0.990000390460627,-1.51033087041783,-1.46395509789467,-0.93036859510346,-1.06661065269323
2.1,0.98500149110034,0.985903763659247,0.988726856237244,0.989517073921806,-1.56780557464579,-1.52309074672934,-1.25085019670485,-1.1099952710857
2.2,0.987667346522111,0.986883946526367,0.9901172218924,0.989391264506485,-1.36985405466556,-1.4612320822091,-1.13209016754809,-1.13598874083032
2.3,0.989300412075862,0.986531789977871,0.990312696348703,0.990357768963834,-1.2796562104093,-1.4852797277541,-1.12000326087737,-1.02722970026728
2.4,0.989805701367313,0.986551240796032,0.991389855314825,0.990595538038193,-1.23270887094855,-1.48565609741229,-1.0601371407991,-1.00033883393491
2.5,0.984242355928753,0.981620212042326,0.991389109497168,0.989519556139688,-1.67010423638276,-1.86778211356921,-1.08503872191218,-1.13607224345687
2.6,0.984590522220832,0.980657099094004,0.989995806750934,0.986445346952025,-1.65830060304362,-1.96593167564515,-1.19224195478897,-1.38354554769555
2.7,0.983646317607283,0.978199259055612,0.988123207838623,0.982447000331914,-1.75267490301312,-2.15189685422515,-1.33054201820961,-1.6864640034786
2.8,0.985580483308828,0.977838071522143,0.987946357930019,0.979281627324582,-1.65891102692218,-2.18095159210643,-1.37860284849902,-1.89029081625376
2.9,0.985201697388285,0.980729718623362,0.984731007471538,0.978091161325184,-1.71520223100042,-2.1062209268249,-1.62940643782593,-1.98548294269793
3,0.986095619210107,0.98008520476484,0.983335221645039,0.978119375851218,-1.65422199782588,-2.16427629785316,-1.72686260650301,-1.99673114939759
3.1,0.985803196116256,0.976337405677485,0.987400648392579,0.975405168932949,-1.68612580857259,-2.42134193355691,-1.45368200689515,-2.19494354928117
3.2,0.985792179816587,0.974035075063218,0.98618681764605,0.969914847208944,-1.73683910624994,-2.5838239105396,-1.55085098404475,-2.61532431764397
3.3,0.982364815922127,0.970983130887652,0.984902975901225,0.969044068583372,-1.9864736037662,-2.83141077609498,-1.66366339767551,-2.66647395263749
3.4,0.979956469023405,0.96915439655879,0.980547315773295,0.964981196923307,-2.18000770678452,-2.96200815411025,-2.01253083892086,-2.96926112749034
3.5,0.975139724116245,0.967880615488835,0.975952119419042,0.961087837565873,-2.49868660693384,-3.07220519042517,-2.34064968415025,-3.24933363292575
3.6,0.971978455868411,0.961358337568554,0.97575835770685,0.964020790789672,-2.74553911086294,-3.44316706231945,-2.36711505869216,-3.0777917711533
3.7,0.968101006583488,0.95909701420331,0.972687005855009,0.961710824416154,-3.0361939262276,-3.60640934476148,-2.57263822872754,-3.26444507386823
3.8,0.96142098622739,0.957014900072633,0.972607439934531,0.960470512013728,-3.49403485618516,-3.74853061624104,-2.62705961065155,-3.3620476614288
3.9,0.959364580518852,0.954036069402613,0.970433159244154,0.962847073933615,-3.66304711802408,-3.95184633787181,-2.79748973832284,-3.20674991268518
4,0.955468069652255,0.955307543377011,0.967048318493309,0.965386666994437,-3.95149811586658,-3.87463410571447,-3.05708270079543,-3.07714351824106
4.1,0.953982054619919,0.954319272603233,0.963919240437395,0.96332249233716,-4.06726841481191,-3.93210760957464,-3.27856803866502,-3.22010035735523
4.2,0.948633197034902,0.951928311238947,0.961593849805205,0.963865105005421,-4.41236075700537,-4.09234139832087,-3.44750923521144,-3.18998159990177
4.3,0.947924721687534,0.950667109758814,0.963434988583742,0.961873270461057,-4.45503970755554,-4.18671257136264,-3.36904591512779,-3.32622578053226
4.4,0.946035242801072,0.952397608925608,0.959211163906551,0.961291107789547,-4.59900428501466,-4.0604814582446,-3.65760404363231,-3.32676876411294
4.5,0.942811852072662,0.95208848130184,0.960036002116911,0.960299779919463,-4.82583360078838,-4.0802063872556,-3.59017105311732,-3.41389551564976
4.6,0.940907415237785,0.951489165742094,0.960012884864961,0.95729413526394,-4.96438432617593,-4.10778697370075,-3.60369002763731,-3.62049872521874
4.7,0.944195156946492,0.954291780458035,0.958623017098917,0.956910139945318,-4.73774006181535,-3.88366619417054,-3.70920034992635,-3.64122388839297
4.8,0.94307879956581,0.955704297635133,0.958055951877988,0.955859579513546,-4.82320064409073,-3.79308764736158,-3.76096995510311,-3.71801034682085
4.9,0.941582605020724,0.956212408815313,0.958672823023692,0.952151480218252,-4.93432974334886,-3.75453765430637,-3.73939126396581,-3.96577984555539
5,0.941297678114091,0.953391454403425,0.960751148115982,0.953793955421222,-4.93649346317302,-3.95928742907217,-3.5868976663278,-3.85495959654342
