"Subject","event_no","Stimulus","EMG_zyg_mean"
16,1,"Neutral",0.738542517341089
16,2,"Angry",-0.16803152022235
16,2,"Happy",0.150132700986465
16,2,"Neutral",0.080062810542962
16,3,"Angry",0.225773290123404
16,3,"Happy",-0.545656905470136
16,3,"Neutral",-0.223578395991545
16,4,"Angry",-0.172318644284857
16,4,"Happy",1.28046042541847
16,4,"Neutral",-0.0384465284778936
17,1,"Angry",0.0298610006152544
17,1,"Happy",-0.0640664828441356
17,1,"Neutral",-0.278710115188043
17,2,"Angry",0.0100321549136776
17,2,"Happy",0.0566519982050687
17,2,"Neutral",-0.00238656712519782
17,3,"Angry",-0.0435120204904309
17,3,"Happy",-0.0837761023776988
17,3,"Neutral",-0.0134685338933956
17,4,"Angry",-0.0508963909165317
17,4,"Happy",0.00614939876812266
17,4,"Neutral",0.00263027009204545
18,1,"Angry",1.1452949915122
18,1,"Happy",-0.216198591597207
18,1,"Neutral",0.425934106192767
18,2,"Angry",0.0257534591767875
18,2,"Happy",-0.0211215215860274
18,2,"Neutral",-0.17652552525445
18,3,"Angry",0.0695636628518441
18,3,"Happy",-0.0594866162405044
18,3,"Neutral",-0.567351483089447
18,4,"Angry",-0.614643128652851
18,4,"Happy",-0.0397136759551123
18,4,"Neutral",0.019440713965411
19,1,"Angry",-1.07790788632934
19,1,"Happy",-0.0236907031545819
19,1,"Neutral",-0.0632274601430858
19,2,"Angry",-0.670205128927522
19,2,"Happy",-0.232076931815746
19,2,"Neutral",-0.0294244299489716
19,3,"Angry",0.672848826205728
19,3,"Happy",0.169272869435693
19,3,"Neutral",-0.0710346034372739
19,4,"Angry",-0.00302884453192239
19,4,"Happy",0.196855284665555
19,4,"Neutral",-0.0794300486683459
20,1,"Angry",-0.00736096636163366
20,1,"Happy",0.0434183872196661
20,1,"Neutral",-0.386016973916083
20,2,"Angry",0.00506181310067513
20,2,"Happy",-0.0133337118958767
20,2,"Neutral",-0.0166209352685925
20,3,"Angry",0.00418111636042017
20,3,"Happy",0.0100235255938581
20,3,"Neutral",-0.000593990510135264
20,4,"Angry",-0.0232980899790019
20,4,"Happy",0.0247428134971595
20,4,"Neutral",0.0201417276286494
21,1,"Angry",0.0196375161029688
21,1,"Happy",-0.0151406902008366
21,1,"Neutral",0.0485734661305712
21,2,"Angry",-0.0218047026758659
21,2,"Happy",0.0297440462979144
21,2,"Neutral",-0.0269188660488183
21,3,"Angry",0.0163603584697811
21,3,"Happy",-0.00726554879597591
21,3,"Neutral",-0.0191995178542357
21,4,"Angry",-0.0318209545269822
21,4,"Happy",-0.0310676767090092
21,4,"Neutral",0.0253902901178617
22,1,"Angry",1.37354609664222
22,1,"Happy",0.253003592261468
22,1,"Neutral",0.153850919296212
22,2,"Angry",0.738439709817059
22,2,"Happy",0.222580477147973
22,2,"Neutral",0.664897008814212
22,3,"Angry",-0.314498689515485
22,3,"Happy",0.604660092554257
22,3,"Neutral",-0.0515707240916724
22,4,"Angry",-0.0285394524220035
22,4,"Happy",0.442601930174924
22,4,"Neutral",-0.125620085796457
23,1,"Angry",0.0311366931845346
23,1,"Happy",0.00140169806385632
23,1,"Neutral",-1.34481539818505
23,2,"Angry",-0.0116719936135892
23,2,"Happy",0.0423031113109233
23,2,"Neutral",0.120752879874104
23,3,"Angry",0.931511148032779
23,3,"Happy",0.0535140957994452
23,3,"Neutral",0.0871200519184185
23,4,"Angry",-0.0056989127000249
23,4,"Happy",0.0846865474346803
23,4,"Neutral",0.183998698220472
24,1,"Angry",-0.0265168062983918
24,1,"Happy",0.472144829440255
24,1,"Neutral",0.0535095372479608
24,2,"Angry",-0.135401409677142
24,2,"Happy",0.487717234709873
24,2,"Neutral",0.270898498628903
24,3,"Angry",-0.0900478941668561
24,3,"Happy",0.608583312953957
24,3,"Neutral",-0.135086717850016
24,4,"Angry",0.144975785693842
24,4,"Happy",0.636093998481031
24,4,"Neutral",0.0148472708047162
25,1,"Angry",0.009291710427435
25,1,"Happy",0.0124889082238786
25,1,"Neutral",0.0097678780530727
25,2,"Angry",0.00608432633867675
25,2,"Happy",-0.0141823041068138
25,2,"Neutral",-0.00724687540919543
25,3,"Angry",0.0236506699699955
25,3,"Happy",0.00423368042577038
25,3,"Neutral",-0.0324538227368835
25,4,"Angry",0.0135157230621817
25,4,"Happy",0.00893858622548207
25,4,"Neutral",-0.0232829090462514
27,1,"Angry",-0.0788690758160885
27,1,"Happy",-0.0352954349917286
27,1,"Neutral",-0.166361452850743
27,2,"Angry",0.0381955251457797
27,2,"Happy",-0.0088873835185498
27,2,"Neutral",0.0346155911650475
27,3,"Angry",0.000873821932560387
27,3,"Happy",0.021403745871929
27,3,"Neutral",0.0499669594410234
27,4,"Angry",0.0497266378448237
27,4,"Happy",0.00117688543719508
27,4,"Neutral",0.0261977278764535
28,1,"Angry",0.0436955697752429
28,1,"Happy",0.238444245556738
28,1,"Neutral",-1.12131344721329
28,2,"Angry",-0.0242128892775807
28,2,"Happy",1.00026919981693
28,2,"Neutral",-0.0460543073070486
28,3,"Angry",-0.0452014929709852
28,3,"Happy",0.344592856712812
28,3,"Neutral",0.0547876142172956
28,4,"Angry",0.0362226490919569
28,4,"Happy",0.838234123047633
28,4,"Neutral",-0.0501674489020782
29,1,"Angry",-0.0362813574909312
29,1,"Happy",0.00575017471996547
29,1,"Neutral",-0.0204760593000958
